	_worker_id	edge	template	question_should_contain	question
0	45438892	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	yes sir Where can I buy a @partType for my @appliance?
1	45438892	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	for Where can I buy a @partType for my @appliance?
2	45438892	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	now, Where can I buy a @partType for my @appliance?
3	45769617	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	want to bye a @partType and @appliance
4	45769617	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	looking for a @partType and @appliance
5	45769617	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	trying some @partType and @appliance
6	45601323	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	Where can I buy @partType for my @appliance?
7	45601323	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	Where is it possible to get @partType to get my @appliance working
8	45601323	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	Can my @partType be used to view the @appliance?
9	46018693	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	Where how I buy a @partType for my @appliance...! @partType @appliance
10	46018693	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	Where how I buy a @partType for my @appliance..
11	46018693	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	Where how I buy a @partType for my @appliance.!
12	45760166	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	where can you get @partType for my @appliance
13	45760166	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	how to get @partType for my @appliance
14	45760166	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	how to buy @partType for my @appliance
15	45597835	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	Could I buy an @partType for an @appliance?
16	45597835	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	can I put a @partType on an @appliance?
17	45597835	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	I am looking for a @partType for an @appliance?
18	45850453	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	I can buy a party in the city center @partType @appliance
19	45850453	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	in the rent of my house they sell @partType @appliance
20	45850453	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	I will buy it when I decide @partType @appliance
21	45601753	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	Where do I purchase a @partType for my @appliance?
22	45601753	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	Where can I purchase a @partType from my @appliance?
23	45601753	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	Where can I buy my @partType for the @appliance?
24	45597295	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	What is the closest store to buy @partType for the @appliance
25	45597295	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	is the @partType part of the @appliance available at a walmart?
26	45597295	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	in order of what price is the @partType of the @appliance
27	45677574	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	Is there any @partType for my @appliance?
28	45677574	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	Help me to find a @partType for my @appliance
29	45677574	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	Please, show me a @partType for my @appliance
30	45319667	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	I want to buy an @partType for my @appliance
31	45319667	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	I am interested in purchasing an @partType for my @appliance
32	45319667	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	where can i get this @partType for my @appliance
33	45464287	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	where do i buy a watch @partType for my @appliance?
34	45464287	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	where do I buy an oven @partType for my @appliance?
35	45464287	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	where do i buy a fridge @partType for my @appliance?
36	45796982	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	I have not managed to get @partType for an @appliance
37	45796982	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	could you help me buy a @partType for my @appliance
