	_worker_id	edge	template	question_should_contain	question	intent
0	43844929	Does a certain feature exist?	Is there an @existFeature in the @appliance?	@existFeature @appliance	Do you know if @appliance has an @existFeature on it 	exist
1	45405037	Does a certain feature exist?	Is there an @existFeature in the @appliance?	@existFeature @appliance	Will there be an @existFeature in the @appliance 	exist
2	45405037	Does a certain feature exist?	Is there an @existFeature in the @appliance?	@existFeature @appliance	Can you find me an @existFeature in the @appliance 	exist
3	45405037	Does a certain feature exist?	Is there an @existFeature in the @appliance?	@existFeature @appliance	Can I see an @existFeature in the @appliance 	exist
4	38202325	Does a certain feature exist?	Is there an @existFeature in the @appliance?	@existFeature @appliance	Does the @appliance offer the @existFeature 	exist
5	38202325	Does a certain feature exist?	Is there an @existFeature in the @appliance?	@existFeature @appliance	Does the @appliance  have an @existFeature	exist
6	45901177	Does a certain feature exist?	Is there an @existFeature in the @appliance?	@existFeature @appliance	can I find any @existFeature in my appliance	exist
7	45901177	Does a certain feature exist?	Is there an @existFeature in the @appliance?	@existFeature @appliance	any chance there is @existfeature in the @appliance	exist
8	45901177	Does a certain feature exist?	Is there an @existFeature in the @appliance?	@existFeature @appliance	is there any @existfeature in the @appliance	exist
9	38202325	Does a certain feature exist?	Is there an @existFeature in the @appliance?	@existFeature @appliance	Is the @existFeature  available on my @appliance	exist
10	18090380	Does a certain feature exist?	Is there an @existFeature in the @appliance?	@existFeature @appliance	Does an @existFeature exist in my new @appliance 	exist
11	18090380	Does a certain feature exist?	Is there an @existFeature in the @appliance?	@existFeature @appliance	Does a @existFeature exist in my @appliance 	exist
12	38202325	Does a certain feature exist?	Is there an @existFeature in the @appliance?	@existFeature @appliance	Is the @existFeature found on the @appliance 	exist
13	38202325	Does a certain feature exist?	Is there an @existFeature in the @appliance?	@existFeature @appliance	Does the @appliance offer an @exist Feature 	exist
14	38202325	Does a certain feature exist?	Is there an @existFeature in the @appliance?	@existFeature @appliance	Is the @existFeature available on the @appliance 	exist
15	43844929	Does a certain feature exist?	Is there an @existFeature in the @appliance?	@existFeature @appliance	Is there an @existFeature on my new @appliance 	exist
16	43844929	Does a certain feature exist?	Is there an @existFeature in the @appliance?	@existFeature @appliance	Can you tell me if my @appliance has an @existFeature on it 	exist
17	18090380	Does a certain feature exist?	Is there an @existFeature in the @appliance?	@existFeature @appliance	Does @existFeature exist in my @appliance 	exist
18	6367365	appropriate kitchen untensils to use	Is it safe to use @cookWare in a @appliance?	@cookWare @appliance	Will I be able to use @cookWare in the @appliance 	appropriate
19	-	appropriate kitchen untensils to use	-	@cookware @appliance	can i use the @cookware for the @appliance	appropriate
20	-	appropriate kitchen untensils to use	-	@cookware @appliance	is @cookware appropriate for the @appliance	appropriate
21	-	appropriate kitchen untensils to use	-	@cookware @appliance	is the @cookware @appliance safe	appropriate
22	-	appropriate kitchen untensils to use	-	@cookware @appliance	is it safe to use @cookware in a @appliance	appropriate
23	6367365	appropriate kitchen untensils to use	Is it safe to use @cookWare in a @appliance?	@cookWare @appliance	Should I use the @cookWare in my @appliance 	appropriate
24	6367365	appropriate kitchen untensils to use	Is it safe to use @cookWare in a @appliance?	@cookWare @appliance	Is the @appliance safe to use with @cookWare 	appropriate
25	38202325	appropriate kitchen untensils to use	Is it safe to use @cookWare in a @appliance?	@cookWare @appliance	Will it be safe using the @cookWare  on the @appliance	appropriate
26	43844929	appropriate kitchen untensils to use	Is it safe to use @cookWare in a @appliance?	@cookWare @appliance	Can you tell me if @cookWare is safe to use when cooking something in @appliance 	appropriate
27	38202325	appropriate kitchen untensils to use	Is it safe to use @cookWare in a @appliance?	@cookWare @appliance	Can I safely use @cookWare  on my @appliance	appropriate
28	38202325	appropriate kitchen untensils to use	Is it safe to use @cookWare in a @appliance?	@cookWare @appliance	Will the @cookWare be safe for use with the @appliance 	appropriate
29	38202325	appropriate kitchen untensils to use	Is it safe to use @cookWare in a @appliance?	@cookWare @appliance	Is the @cookWare safe for use with the @appliance 	appropriate
30	38202325	appropriate kitchen untensils to use	Is it safe to use @cookWare in a @appliance?	@cookWare @appliance	Can I use the @cookWare  for my @appliance	appropriate
31	43844929	appropriate kitchen untensils to use	Is it safe to use @cookWare in a @appliance?	@cookWare @appliance	Is there any type of @cookWare I should avoid using when cooking on @appliance 	appropriate
32	43844929	appropriate kitchen untensils to use	Is it safe to use @cookWare in a @appliance?	@cookWare @appliance	What type of @cookWare should I avoid cooking with in my new @appliance 	appropriate
33	38202325	appropriate kitchen untensils to use	Is it safe to use @cookWare in a @appliance?	@cookWare @appliance	Is the @cookWare safe for use with the @appliance 	appropriate
34	-	buy parts for appliance	-	@parttype @appliance	how can i purchase a @parttype for my @appliance	buy
35	-	buy parts for appliance	-	@parttype @appliance	where can i find a new @parttype for my @appliance	buy
36	18090380	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	How do I buy a new @partType for my toaster @appliance 	buy
37	-	buy parts for appliance	-	@parttype @appliance	i want to get a new @parttype for my @appliance	buy
38	38202325	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	Who has a  @partType for my @appliance	buy
39	18090380	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	Where can I buy a @partType for my @appliance 	buy
40	38202325	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	Who has an @partType  for an @appliance	buy
41	38202325	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	Find a store that has @partType for sale for an @appliance 	buy
42	-	buy parts for appliance	-	@parttype @appliance	where can i buy a @parttype for my @appliance	buy
43	45901177	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	looking to buy @partType for my @appliance	buy
44	45405037	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	Where can I gain a @partType  from my @appliance	buy
45	43844929	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	Can you tell me where I can get a new @partType for my @appliance 	buy
46	45405037	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	Where can I purchase @partType  from my @appliance	buy
47	43844929	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	What store carried @partType so I can buy it for my @appliance 	buy
48	38202325	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	Show me where to purchase an @partType for an @appliance 	buy
49	45405037	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	Where can I get @partType  for my @appliance	buy
50	43844929	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	Can you tell me which stores I can buy a @partType for my @appliance are located nearby 	buy
51	18090380	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	How do I buy a @partType for my @appliance 	buy
52	38202325	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	Display places that sell @partType  for my @appliance	buy
53	45901177	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	I need to buy @partType for @appliance	buy
54	45901177	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	I need to @partType for my @appliance	buy
55	38202325	buy parts for appliance	Where can I buy a @partType for my @appliance?	@partType @appliance	I need to purchase an @partType  for my @appliance	buy
56	43844929	clean part of a appliance	How do I clean the @cleanObject on the @appliance?	@cleanObject @appliance	Can you please tell me how to @cleanObject on this @appliance correctly 	clean
57	45901177	clean part of a appliance	How do I clean the @cleanObject on the @appliance?	@cleanObject @appliance	How can I clean the @cleanObject on the @appliance	clean
58	-	clean part of a appliance	-	@cleanobject @appliance	how do i clean the @cleanobject on the @appliance	clean
59	-	clean part of a appliance	-	@cleanobject @appliance	tell me how to polish the @cleanobject with the @appliance	clean
60	-	clean part of a appliance	-	@cleanobject @appliance	what is the best way to clean the @cleanobject on the @appliance	clean
61	-	clean part of a appliance	-	@cleanobject @appliance	i would like to clean the @cleanobject with the @appliance please	clean
62	45901177	clean part of a appliance	How do I clean the @cleanObject on the @appliance?	@cleanObject @appliance	How do I clean the @cleanObject on the @appliance	clean
63	43844929	clean part of a appliance	How do I clean the @cleanObject on the @appliance?	@cleanObject @appliance	Would you please tell me how to clean the @cleanObject on the @appliance 	clean
64	44751575	clean part of a appliance	How do I clean the @cleanObject on the @appliance?	@cleanObject @appliance	How may i use @cleanObject for the @appliance	clean
65	44751575	clean part of a appliance	How do I clean the @cleanObject on the @appliance?	@cleanObject @appliance	How often do i use @cleanObject on the @appliance	clean
66	45405037	clean part of a appliance	How do I clean the @cleanObject on the @appliance?	@cleanObject @appliance	How do I make spotless @cleanObject on the @appliance 	clean
67	45405037	clean part of a appliance	How do I clean the @cleanObject on the @appliance?	@cleanObject @appliance	Can you show me some ways to clean the  @cleanObject on the @appliance	clean
68	45405037	clean part of a appliance	How do I clean the @cleanObject on the @appliance?	@cleanObject @appliance	How do I unsoil the @cleanObject on the @appliance 	clean
69	45405037	clean part of a appliance	How do I clean the @cleanObject on the @appliance?	@cleanObject @appliance	How many ways do I clean the  @cleanObject on the @appliance	clean
70	45405037	clean part of a appliance	How do I clean the @cleanObject on the @appliance?	@cleanObject @appliance	How do I wash the @cleanObject on the @appliance 	clean
71	45405037	clean part of a appliance	How do I clean the @cleanObject on the @appliance?	@cleanObject @appliance	What are some ways to clean the  @cleanObject on the @appliance	clean
72	45901177	clean part of a appliance	How do I clean the @cleanObject on the @appliance?	@cleanObject @appliance	I want to clean the @cleanObject on the @appliance	clean
73	44751575	clean part of a appliance	How do I clean the @cleanObject on the @appliance?	@cleanObject @appliance	How many time do i have to use @cleanObject for the @appliance	clean
74	43844929	clean part of a appliance	How do I clean the @cleanObject on the @appliance?	@cleanObject @appliance	Would you mind telling me how to @cleanObject on this @appliance model please 	clean
75	-	error code on appliance screen	-	@infocode @appliance	how do i handle the @infocode message that is showing on my @appliance	code
76	-	error code on appliance screen	-	@infocode @appliance	what is the meaning of the @infocode message on my @appliance	code
77	-	error code on appliance screen	-	@infocode @appliance	my @appliance has the @infocode message	code
78	-	error code on appliance screen	-	@infocode @appliance	what does @infocode mean on my @appliance	code
79	45901177	error code on appliance screen	What does @infoCode mean on my @appliance?	@infoCode @appliance	I want @infoCode mean on my @appliance	code
80	38202325	error code on appliance screen	What does @infoCode mean on my @appliance?	@infoCode @appliance	Tell me the error code meaning of the @appliance  @infoCode	code
81	43844929	error code on appliance screen	What does @infoCode mean on my @appliance?	@infoCode @appliance	What does this @infoCode mean that is popping up on @appliance 	code
82	43844929	error code on appliance screen	What does @infoCode mean on my @appliance?	@infoCode @appliance	Can you tell me what @infoCode means It keeps popping up on my @appliance 	code
83	43844929	error code on appliance screen	What does @infoCode mean on my @appliance?	@infoCode @appliance	@infoCode keeps popping up on my @appliance, can you tell me what it means 	code
84	38202325	error code on appliance screen	What does @infoCode mean on my @appliance?	@infoCode @appliance	What is the meaning of the @infoCode on the @appliance 	code
